
Setup complete, entering main loop...

cycle=0 time=0.00000000000000e+00 dt=7.07798724613070e-02
cycle=1 time=7.07798724613070e-02 dt=7.05334036807656e-02
cycle=2 time=1.41313276142073e-01 dt=6.98865004125268e-02
cycle=3 time=2.11199776554599e-01 dt=6.90839349749840e-02
cycle=4 time=2.80283711529583e-01 dt=6.79515420635476e-02
cycle=5 time=3.48235253593131e-01 dt=7.05201079952867e-02
cycle=6 time=4.18755361588418e-01 dt=7.47843980592278e-02
cycle=7 time=4.93539759647645e-01 dt=7.96965573571354e-02
cycle=8 time=5.73236317004781e-01 dt=8.53901287183823e-02
cycle=9 time=6.58626445723163e-01 dt=9.18701241106369e-02
cycle=10 time=7.50496569833800e-01 dt=9.94890668998002e-02
cycle=11 time=8.49985636733600e-01 dt=1.08666320743645e-01
cycle=12 time=9.58651957477246e-01 dt=1.18611092108450e-01
cycle=13 time=1.07726304958570e+00 dt=1.28423153194607e-01
cycle=14 time=1.20568620278030e+00 dt=1.37399059554562e-01
cycle=15 time=1.34308526233486e+00 dt=1.44363641763592e-01
cycle=16 time=1.48744890409846e+00 dt=1.50409143672702e-01
cycle=17 time=1.63785804777116e+00 dt=1.54480140587110e-01
cycle=18 time=1.79233818835827e+00 dt=1.57393327351167e-01
cycle=19 time=1.94973151570944e+00 dt=1.59623142956358e-01
cycle=20 time=2.10935465866579e+00 dt=1.61644505984335e-01
cycle=21 time=2.27099916465013e+00 dt=1.61552482238083e-01
cycle=22 time=2.43255164688821e+00 dt=1.61727959780313e-01
cycle=23 time=2.59427960666853e+00 dt=1.62110301318485e-01
cycle=24 time=2.75638990798701e+00 dt=1.62619103517248e-01
cycle=25 time=2.91900901150426e+00 dt=1.62730423486648e-01
cycle=26 time=3.08173943499091e+00 dt=1.62907097641761e-01
cycle=27 time=3.24464653263267e+00 dt=1.63115728972479e-01
cycle=28 time=3.40776226160515e+00 dt=1.63535019921998e-01
cycle=29 time=3.57129728152714e+00 dt=1.64181637783425e-01
cycle=30 time=3.73547891931057e+00 dt=1.65012325824136e-01
cycle=31 time=3.90049124513471e+00 dt=1.66093305249356e-01
cycle=32 time=4.06658455038406e+00 dt=1.66249130517373e-01
cycle=33 time=4.23283368090143e+00 dt=1.66791126365348e-01
cycle=34 time=4.39962480726678e+00 dt=1.67756267599388e-01
cycle=35 time=4.56738107486617e+00 dt=1.69208768909267e-01
cycle=36 time=4.73658984377544e+00 dt=1.70957927225275e-01
cycle=37 time=4.90754777100071e+00 dt=1.73044360302817e-01
cycle=38 time=5.08059213130353e+00 dt=1.75486310264456e-01
cycle=39 time=5.25607844156798e+00 dt=1.78203655037286e-01
cycle=40 time=5.43428209660527e+00 dt=1.81155934055178e-01
cycle=41 time=5.61543803066045e+00 dt=1.83174902067673e-01
cycle=42 time=5.79861293272812e+00 dt=1.85171709618932e-01
cycle=43 time=5.98378464234705e+00 dt=1.87359181069823e-01
cycle=44 time=6.17114382341688e+00 dt=1.90248663434809e-01
cycle=45 time=6.36139248685169e+00 dt=1.92943329806806e-01
cycle=46 time=6.55433581665849e+00 dt=1.95487565761580e-01
cycle=47 time=6.74982338242007e+00 dt=1.98008919208584e-01
cycle=48 time=6.94783230162866e+00 dt=2.00755729457969e-01
cycle=49 time=7.14858803108662e+00 dt=2.04461193014254e-01
cycle=50 time=7.35304922410088e+00 dt=2.05729003327698e-01
cycle=51 time=7.55877822742858e+00 dt=2.05525742736219e-01
cycle=52 time=7.76430397016480e+00 dt=2.06250309201593e-01
cycle=53 time=7.97055427936639e+00 dt=2.08309087386193e-01
cycle=54 time=8.17886336675258e+00 dt=2.08361330027439e-01
cycle=55 time=8.38722469678002e+00 dt=2.08898522819232e-01
cycle=56 time=8.59612321959925e+00 dt=2.12265689354452e-01
cycle=57 time=8.80838890895370e+00 dt=2.11268052076840e-01
cycle=58 time=9.01965696103055e+00 dt=2.13020272217870e-01
cycle=59 time=9.23267723324842e+00 dt=2.14289064598390e-01
cycle=60 time=9.44696629784680e+00 dt=2.12881953423435e-01
cycle=61 time=9.65984825127024e+00 dt=2.12330568780996e-01
cycle=62 time=9.87217882005124e+00 dt=2.12127751873567e-01
cycle=63 time=1.00843065719248e+01 dt=2.15109999395526e-01
cycle=64 time=1.02994165713203e+01 dt=2.16130644500568e-01
cycle=65 time=1.05155472158209e+01 dt=2.16119302473633e-01
cycle=66 time=1.07316665182945e+01 dt=2.15276186956515e-01
cycle=67 time=1.09469427052510e+01 dt=2.15087432897983e-01
cycle=68 time=1.11620301381490e+01 dt=2.16506966337030e-01
cycle=69 time=1.13785371044861e+01 dt=2.18162008617021e-01
cycle=70 time=1.15966991131031e+01 dt=2.18964914820326e-01
cycle=71 time=1.18156640279234e+01 dt=2.20676029961483e-01
cycle=72 time=1.20363400578849e+01 dt=2.20876495280173e-01
cycle=73 time=1.22572165531651e+01 dt=2.21306839748242e-01
cycle=74 time=1.24785233929133e+01 dt=2.21618377733941e-01
cycle=75 time=1.27001417706472e+01 dt=2.21464974384014e-01
cycle=76 time=1.29216067450313e+01 dt=2.21569518272586e-01
cycle=77 time=1.31431762633038e+01 dt=2.21139888856962e-01
cycle=78 time=1.33643161521608e+01 dt=2.20735017981268e-01
cycle=79 time=1.35850511701421e+01 dt=2.20730283394445e-01
cycle=80 time=1.38057814535365e+01 dt=2.20707939176793e-01
cycle=81 time=1.40264893927133e+01 dt=2.20871634741835e-01
cycle=82 time=1.42473610274551e+01 dt=2.20971830834409e-01
cycle=83 time=1.44683328582896e+01 dt=2.22185846873598e-01
cycle=84 time=1.46905187051632e+01 dt=2.23035558876738e-01
cycle=85 time=1.49135542640399e+01 dt=2.22335710254556e-01
cycle=86 time=1.51358899742944e+01 dt=2.22099296829458e-01
cycle=87 time=1.53579892711239e+01 dt=2.22115381722062e-01
cycle=88 time=1.55801046528460e+01 dt=2.24339462545482e-01
cycle=89 time=1.58044441153914e+01 dt=2.24389702339882e-01
cycle=90 time=1.60288338177313e+01 dt=2.24445061123109e-01
cycle=91 time=1.62532788788544e+01 dt=2.24501320697700e-01
cycle=92 time=1.64777801995521e+01 dt=2.24552720375402e-01
cycle=93 time=1.67023329199275e+01 dt=2.24598273158487e-01
cycle=94 time=1.69269311930860e+01 dt=2.24445304903534e-01
cycle=95 time=1.71513764979896e+01 dt=2.24301708523244e-01
cycle=96 time=1.73756782065128e+01 dt=2.24528701601988e-01
cycle=97 time=1.76002069081148e+01 dt=2.24737802799416e-01
cycle=98 time=1.78249447109142e+01 dt=2.24761120141839e-01
cycle=99 time=1.80497058310561e+01 dt=2.24780788965051e-01
cycle=100 time=1.82744866200211e+01 dt=2.24796388855689e-01
cycle=101 time=1.84992830088768e+01 dt=2.24703504305993e-01
cycle=102 time=1.87239865131828e+01 dt=2.24713556012765e-01
cycle=103 time=1.89487000691956e+01 dt=2.24830616687705e-01
cycle=104 time=1.91735306858833e+01 dt=2.24795682996181e-01
cycle=105 time=1.93983263688794e+01 dt=2.24849564220166e-01
cycle=106 time=1.96231759330996e+01 dt=2.24859831494482e-01
cycle=107 time=1.98480357645941e+01 dt=2.24870720128249e-01
cycle=108 time=2.00729064847223e+01 dt=2.24882479289226e-01
cycle=109 time=2.02977889640116e+01 dt=2.24895508714864e-01
cycle=110 time=2.05226844727264e+01 dt=2.24910100139782e-01
cycle=111 time=2.07475945728662e+01 dt=2.24912282414404e-01
cycle=112 time=2.09725068552806e+01 dt=2.24890814947144e-01
cycle=113 time=2.11973976702278e+01 dt=2.24851670448395e-01
cycle=114 time=2.14222493406761e+01 dt=2.24806901987368e-01
cycle=115 time=2.16470562426635e+01 dt=2.24797306327493e-01
cycle=116 time=2.18718535489910e+01 dt=2.24784339432028e-01
cycle=117 time=2.20966378884230e+01 dt=2.24749783643085e-01
cycle=118 time=2.23213876720661e+01 dt=2.24698551410445e-01
cycle=119 time=2.25460862234766e+01 dt=2.24499077263335e-01
cycle=120 time=2.27705853007399e+01 dt=2.24331646517925e-01
cycle=121 time=2.29949169472578e+01 dt=2.24253176206986e-01
cycle=122 time=2.32191701234648e+01 dt=2.25822547000001e-01
cycle=123 time=2.34449926704648e+01 dt=2.25819953191695e-01
cycle=124 time=2.36708126236565e+01 dt=2.25811313495540e-01
cycle=125 time=2.38966239371520e+01 dt=2.25797638408787e-01
cycle=126 time=2.41224215755608e+01 dt=2.25780599365796e-01
cycle=127 time=2.43482021749266e+01 dt=2.25761896986436e-01
cycle=128 time=2.45739640719131e+01 dt=2.25742846490672e-01
cycle=129 time=2.47997069184037e+01 dt=2.25723957773001e-01
cycle=130 time=2.50254308761767e+01 dt=2.25704265206215e-01
cycle=131 time=2.52511351413829e+01 dt=2.25680533143074e-01
cycle=132 time=2.54768156745260e+01 dt=2.25662976952959e-01
cycle=133 time=2.57024786514790e+01 dt=2.25647081971044e-01
cycle=134 time=2.59281257334500e+01 dt=2.25634374724535e-01
cycle=135 time=2.61537601081746e+01 dt=2.25624349690696e-01
cycle=136 time=2.63793844578653e+01 dt=2.25579962065433e-01
cycle=137 time=2.66049644199307e+01 dt=2.25118599940031e-01
cycle=138 time=2.68300830198707e+01 dt=2.25407723641206e-01
cycle=139 time=2.70554907435119e+01 dt=2.25326948254302e-01
cycle=140 time=2.72808176917662e+01 dt=2.25285987788128e-01
cycle=141 time=2.75061036795544e+01 dt=2.24803245012093e-01
cycle=142 time=2.77309069245664e+01 dt=2.24557946236285e-01
cycle=143 time=2.79554648708027e+01 dt=2.24579175499507e-01
cycle=144 time=2.81800440463022e+01 dt=2.24746004979886e-01
cycle=145 time=2.84047900512821e+01 dt=2.25145440358458e-01
cycle=146 time=2.86299354916406e+01 dt=2.25440982922904e-01
cycle=147 time=2.88553764745635e+01 dt=2.25727680668873e-01
cycle=148 time=2.90811041552324e+01 dt=2.25970243446053e-01
cycle=149 time=2.93070743986784e+01 dt=2.25938165859358e-01
cycle=150 time=2.95330125645378e+01 dt=2.25837026280357e-01
cycle=151 time=2.97588495908181e+01 dt=2.25677561233804e-01
cycle=152 time=2.99845271520519e+01 dt=2.25681116525987e-01
cycle=153 time=3.02102082685779e+01 dt=2.25929593558094e-01
cycle=154 time=3.04361378621360e+01 dt=2.26024684630109e-01
cycle=155 time=3.06621625467661e+01 dt=2.25949677779369e-01
cycle=156 time=3.08881122245455e+01 dt=2.25768025818973e-01
cycle=157 time=3.11138802503645e+01 dt=2.25597775549091e-01
cycle=158 time=3.13394780259135e+01 dt=2.25500486377670e-01
cycle=159 time=3.15649785122912e+01 dt=2.25477317203279e-01
cycle=160 time=3.17904558294945e+01 dt=2.25493430672570e-01
cycle=161 time=3.20159492601671e+01 dt=2.25546739609060e-01
cycle=162 time=3.22414959997761e+01 dt=2.25585432059762e-01
cycle=163 time=3.24670814318359e+01 dt=2.25591622777917e-01
cycle=164 time=3.26926730546138e+01 dt=2.25235961714330e-01
cycle=165 time=3.29179090163281e+01 dt=2.24770414234110e-01
cycle=166 time=3.31426794305622e+01 dt=2.24560760645072e-01
cycle=167 time=3.33672401912073e+01 dt=2.24524804527685e-01
cycle=168 time=3.35917649957350e+01 dt=2.24599249107521e-01
cycle=169 time=3.38163642448425e+01 dt=2.24702952943925e-01
cycle=170 time=3.40410671977864e+01 dt=2.24508029008990e-01
cycle=171 time=3.42655752267954e+01 dt=2.23951162412664e-01
cycle=172 time=3.44895263892081e+01 dt=2.25347776542253e-01
cycle=173 time=3.47148741657503e+01 dt=2.24883694348212e-01
cycle=174 time=3.49397578600985e+01 dt=2.24801297797083e-01
cycle=175 time=3.51645591578956e+01 dt=2.24848083142712e-01
cycle=176 time=3.53894072410383e+01 dt=2.25546891418284e-01
cycle=177 time=3.56149541324566e+01 dt=2.25544691269336e-01
cycle=178 time=3.58404988237260e+01 dt=2.25532802477752e-01
cycle=179 time=3.60660316262037e+01 dt=2.25515855912504e-01
cycle=180 time=3.62915474821162e+01 dt=2.25497445668448e-01
cycle=181 time=3.65170449277847e+01 dt=2.25477497899533e-01
cycle=182 time=3.67425224256842e+01 dt=2.25455721567575e-01
cycle=183 time=3.69679781472518e+01 dt=2.25431704985027e-01
cycle=184 time=3.71934098522368e+01 dt=2.25405627081563e-01
cycle=185 time=3.74188154793184e+01 dt=2.25603755459068e-01
cycle=186 time=3.76444192347774e+01 dt=2.25610999948275e-01
cycle=187 time=3.78700302347257e+01 dt=2.25618573077646e-01
cycle=188 time=3.80956488078034e+01 dt=2.25626219794865e-01
cycle=189 time=3.83212750275982e+01 dt=2.25637217218641e-01
cycle=190 time=3.85469122448169e+01 dt=2.25653739142527e-01
cycle=191 time=3.87725659839594e+01 dt=2.25675374318206e-01
cycle=192 time=3.89982413582776e+01 dt=2.25701699513494e-01
cycle=193 time=3.92239430577911e+01 dt=2.25731600178846e-01
cycle=194 time=3.94496746579699e+01 dt=2.25762907640011e-01
cycle=195 time=3.96754375656099e+01 dt=2.25793380947886e-01
cycle=196 time=3.99012309465578e+01 dt=2.25821520589021e-01
cycle=197 time=4.01270524671469e+01 dt=2.25666098126066e-01
cycle=198 time=4.03527185652729e+01 dt=2.25616515649745e-01
cycle=199 time=4.05783350809227e+01 dt=2.25503568750991e-01
cycle=200 time=4.08038386496737e+01 dt=2.25474343609139e-01
cycle=201 time=4.10293129932828e+01 dt=2.25567273558227e-01
cycle=202 time=4.12548802668410e+01 dt=2.25754226956046e-01
cycle=203 time=4.14806344937971e+01 dt=2.25942706660579e-01
cycle=204 time=4.17065772004576e+01 dt=2.25947309424258e-01
cycle=205 time=4.19325245098819e+01 dt=2.26061275318164e-01
cycle=206 time=4.21585857852001e+01 dt=2.25959437598546e-01
cycle=207 time=4.23845452227986e+01 dt=2.25748614761921e-01
cycle=208 time=4.26102938375605e+01 dt=2.25684356170625e-01
cycle=209 time=4.28359781937312e+01 dt=2.25601627922166e-01
cycle=210 time=4.30615798216533e+01 dt=2.25945261768521e-01
cycle=211 time=4.32875250834218e+01 dt=2.25852612957320e-01
cycle=212 time=4.35133776963792e+01 dt=2.25779589426205e-01
cycle=213 time=4.37391572858054e+01 dt=2.25725209819425e-01
cycle=214 time=4.39648824956248e+01 dt=2.25677124147933e-01
cycle=215 time=4.41905596197727e+01 dt=2.25594969137418e-01
cycle=216 time=4.44161545889101e+01 dt=2.25338632209164e-01
cycle=217 time=4.46414932211193e+01 dt=2.25375020128527e-01
cycle=218 time=4.48668682412478e+01 dt=2.25490922260899e-01
cycle=219 time=4.50923591635087e+01 dt=2.25454021645043e-01
cycle=220 time=4.53178131851538e+01 dt=2.25423222227631e-01
cycle=221 time=4.55432364073814e+01 dt=2.24700642398144e-01
cycle=222 time=4.57679370497795e+01 dt=2.24468912134359e-01
cycle=223 time=4.59924059619139e+01 dt=2.24499991182981e-01
cycle=224 time=4.62169059530969e+01 dt=2.25358490276875e-01
cycle=225 time=4.64422644433738e+01 dt=2.25344670503208e-01
cycle=226 time=4.66676091138770e+01 dt=2.25663673241600e-01
cycle=227 time=4.68932727871186e+01 dt=2.25676575943149e-01
cycle=228 time=4.71189493630617e+01 dt=2.26034485005184e-01
cycle=229 time=4.73449838480669e+01 dt=2.26084571014387e-01
cycle=230 time=4.75710684190813e+01 dt=2.26050960653134e-01
cycle=231 time=4.77971193797344e+01 dt=2.25704109561845e-01
cycle=232 time=4.80228234892963e+01 dt=2.25286150730897e-01
cycle=233 time=4.82481096400272e+01 dt=2.26049094020711e-01
